Title,Year,imdbID,tmdbID,WatchedDate
Kingsglaive: Final Fantasy XV,2016,tt5595168,390734,2020-12-08T21:29:33.000Z
Alita: Battle Angel,2019,tt0437086,399579,2020-08-04T20:38:28.000Z
The Batman,2022,tt1877830,414906,2022-04-22T12:25:35.000Z
Bumblebee,2018,tt4701182,424783,2020-11-16T00:20:04.000Z
Spider-Man: Far From Home,2019,tt6320628,429617,2020-11-16T00:20:48.000Z
Robot on the Road,2015,tt6114460,375462,2020-07-09T20:31:19.000Z
The Suicide Squad,2021,tt6334354,436969,2021-08-07T08:45:02.000Z
No Game No Life: Zero,2017,tt5914996,445030,2020-07-09T08:38:05.000Z
Black Widow,2021,tt3480822,497698,2021-07-22T16:58:47.000Z
Bill & Ted Face the Music,2020,tt1086064,501979,2021-09-22T06:09:23.000Z
My Hero Academia: Two Heroes,2018,tt7745068,505262,2020-07-09T20:32:07.000Z
Jojo Rabbit,2019,tt2584384,515001,2020-12-18T15:15:55.000Z
KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,2019,tt9239552,532067,2021-10-04T23:22:58.000Z
Violet Evergarden: The Movie,2020,tt8652818,533514,2021-11-09T18:58:10.000Z
Free Guy,2021,tt6264654,550988,2021-10-02T14:15:10.000Z
Made in Abyss: Wandering Twilight,2019,tt10068544,526429,2022-07-07T14:56:04.000Z
Made in Abyss: Journey's Dawn,2019,tt10068158,526426,2022-07-07T13:07:18.000Z
Hamilton,2020,tt8503618,556574,2021-11-11T12:26:00.000Z
Made in Abyss: Dawn of the Deep Soul,2020,tt10068916,573730,2022-07-07T16:50:02.000Z
Words Bubble Up Like Soda Pop,2020,tt12735338,579741,2021-08-09T06:07:40.000Z
The Girl from the Other Side,2019,tt11057238,587873,2022-08-07T13:18:10.000Z
Randy Writes a Novel,2019,tt9870612,592245,2020-11-16T00:20:45.000Z
My Hero Academia: Heroes Rising,2019,tt11107074,592350,2021-03-16T16:50:56.000Z
Lupin III: The First,2019,tt10621032,614587,2021-02-16T05:05:18.000Z
Thor: Love and Thunder,2022,tt10648342,616037,2022-09-08T11:39:52.000Z
The Bad Guys,2022,tt8115900,629542,2022-05-06T05:08:55.000Z
Goblin Slayer: Goblin's Crown,2020,tt11151982,631132,2021-02-01T08:39:53.000Z
Black Fox,2019,tt8816016,609202,2021-03-14T18:07:26.000Z
Sing a Bit of Harmony,2021,tt13064272,741335,2022-04-24T14:11:43.000Z
Belle,2021,tt13651628,776305,2022-01-20T10:53:13.000Z
The Girl from the Other Side,2022,tt14228078,802699,2022-08-07T13:18:13.000Z
Death Note: The Musical,2015,,815026,2021-09-09T12:12:24.000Z
Bubble,2022,tt16360006,912598,2022-09-06T07:56:53.000Z
Magnum Opus,2022,tt21316870,1010823,2022-08-10T12:08:50.000Z
Groot's First Steps,2022,tt13820496,1010818,2022-08-10T12:08:33.000Z
The Little Guy,2022,tt14513152,1010819,2022-08-10T12:08:42.000Z
Groot's Pursuit,2022,tt21316834,1010820,2022-08-10T12:08:44.000Z
Groot Takes a Bath,2022,tt21316848,1010821,2022-08-10T12:08:48.000Z
